Year,Mean Temp (°C),Conductivity,Total Precip (mm),Turbidity,Total Snow (cm),Cool Deg Days (°C),Spd of Max Gust (km/h)
2002,0.5274819137820691,0.5977602607191101,-0.21474646055065494,-0.06422507304463247,-0.14014364941547872,-0.0307159228704559,0.08743373441576845
2003,-0.2478065715022747,0.3893784083280949,-0.1979440734871578,0.15911915308048047,-0.15724417504997493,0.24099910680904033,0.21950698640493216
2004,-0.35117023957819704,0.35300451604215427,-0.2239195112128228,0.1642809676217523,-0.19659628993540432,0.12517239082919793,0.16540114265435915
2005,0.09297202198951404,-0.6907276959693083,0.4316182904623942,-0.023925607630494273,0.65664235361671,-0.0002317810994108593,0.33008425343353237
2006,0.17246719543776723,0.0880447470884709,0.04323292566148839,-0.35709755828964074,0.7731294672974314,-0.13834518166384255,0.1907843414616274
2007,-0.662081894445942,0.2528792077896161,-0.2730103791056813,-0.17649031890323516,0.09342932340383837,0.057692997553564475,-0.0755648070723128
2008,-0.3039685477533693,0.0628024304637493,-0.06400112257221985,0.02582837628363271,0.03214148910080547,-0.06476716923812895,-0.16980977513565715
2009,-0.011631289592980546,0.055954261830109625,-0.01040799291170585,0.03021783444024152,-0.10265573516073628,-0.05501412171726581,-0.13306722759610434
2010,0.19395176622454888,0.16173770700120615,-0.10886894221348808,-0.06766443480539726,-0.11039032891046438,-0.04712708969486304,-0.11730452322251528
2011,0.03234578920181086,0.49374703731491204,-0.13276337632565652,0.1881419387498097,-0.11740994175916711,-0.05972103373075185,0.030721731940025122
2012,0.2688051756629889,0.30364473921866486,-0.1623214177273022,-0.22208257059661424,-0.06578479775043249,0.03917347212384149,-0.18095957267765198
2013,0.020059705092343373,0.01024471959137365,-0.054514139225139764,0.0837213404628254,-0.0921386491164556,0.004167288238593843,-0.1107078418656779
2014,-0.018369826502507354,-0.055464332323556416,0.07912517930061098,0.03243628040989664,-0.16991902987915722,-0.02246636835854376,-0.009331258104014552
2015,-0.21922489546268442,-0.7446486992470237,0.3073429221285519,0.18569476244113095,-0.06887407312535467,0.05589847632954126,-0.09296451864771037
2016,0.27556665393750907,-0.7108698359135136,0.27252788770973996,-0.034121293390875045,-0.14660905445263614,0.004709875357391679,-0.03932983596713199
2017,0.39986420637475795,-0.6668136627680459,0.35753101526096015,0.021028764755500695,-0.20484145931368705,-0.047560091993749366,0.08030581847449582
